title,location,price,property_type,bedrooms,bathrooms,toilets,added_date,updated_date,url,city,page
5 bedroom detached duplex for sale,"African University Area, Galadimawa, Abuja","300,000,000",Detached Duplex,5,7,7,02 Sep 2025,11 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/galadimawa/3069686-exquisitely-designed-5-bedroom-detached-duplex-with-2-spacious-living,abuja,3
4 bedroom detached duplex for sale,"Galadimawa, Abuja","305,000,000",Detached Duplex,4,4,6,05 Nov 2025,06 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/galadimawa/3187358-exclusive-rare-opportunity-brand-new-luxury-4-bedroom-detached-duplex,abuja,3
4 bedroom terraced duplex for sale,"Coza, Guzape District, Abuja","1,400,000,000",Terraced Duplex,4,4,4,09 Oct 2025,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/guzape-district/3138222-luxurious-4-units-4-bedrooms-terraced-duplex-on-214555-sqm,abuja,3
Residential land for sale,"Guzape District, Abuja","1,100,000,000",Residential Land,,,,12 Feb 2026,12 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/guzape-district/3340615-exclusive-2200-sqm-prime-residential-land,abuja,3
Residential land for sale,"Efab Metropolis Estate, Gwarinpa, Abuja","200,000,000",Residential Land,,,,06 May 2024,09 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/gwarinpa/2241036-1000sqmtrs-estate-plot-available-in-a-secured-location,abuja,4
Residential land for sale,"Gilmore, Jahi, Abuja","1,300,000,000",Residential Land,,,,10 Jun 2025,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/jahi/2914593-2357sqm-of-land-on-a-tarred-road,abuja,4
Mixed-use land for sale,"Kukwaba, Abuja","11,000,000,000",Mixed-use Land,,,,05 Oct 2025,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/abuja/kukwaba/3130334-925hectares-with-c-of-o,abuja,4
Land for sale,"Guzape 2, After Gilmore Yard, Guzape District, Abuja","27,000,000",Land,,,,16 Jan 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/abuja/guzape-district/3296641-premium-450sqm-estate-plot,abuja,4
Land for sale,"Guzape 2, After Gilmore Yard, Guzape District, Abuja","21,000,000",Land,,,,16 Jan 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/abuja/guzape-district/3296649-350sqm-estate-plot-with-cof-o-title,abuja,4
Land for sale,"Guzape 2, After Gilmore Yard, Guzape District, Abuja","11,000,000",Land,,,,16 Jan 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/abuja/guzape-district/3296656-a-prime-located-180sqm-estate-plot,abuja,4
Mixed-use land for sale,"Maitama 2, Maitama District, Abuja","11,000,000,000",Mixed-use Land,,,,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/abuja/maitama-district/maitama-2/3355310-prime-investment-opportunity-100-hectare-development-land-in-maitama,abuja,4
Mixed-use land for sale,"Maitama 2, Maitama District, Abuja","2,200,000,000",Mixed-use Land,,,,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/abuja/maitama-district/maitama-2/3355291-prime-1047-hectares-in-the-heart-of-the-new-maitama-plot-917,abuja,4
2 bedroom semi-detached duplex for sale,"Lokogoma District, Abuja","100,000,000",Semi-detached Duplex,2,2,3,01 Nov 2025,12 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/abuja/lokogoma-district/3179810-2-bedroom-semi-detached-duplex,abuja,4
7 bedroom detached duplex for sale,"Guzape Hills, Guzape District, Abuja","700,000,000",Detached Duplex,7,7,8,29 Jan 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/guzape-district/3317221-7-bedroom-luxury-residence,abuja,4
Mixed-use land for sale,"Maitama 2, Maitama District, Abuja","7,000,000,000",Mixed-use Land,,,,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/abuja/maitama-district/maitama-2/3355252-97-hectares-with-cofo,abuja,4
4 bedroom terraced duplex for sale,"Wuye, Abuja","300,000,000",Terraced Duplex,4,,,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/wuye/3355253-4-bedrooms-terraced-duplex-bq,abuja,4
6 bedroom detached duplex for sale,"Katampe Extension, Katampe, Abuja","750,000,000",Detached Duplex,6,,,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/katampe-district/katampe-extension/3355230-luxurious-6-bedrooms-detached-duplex-with-bq,abuja,4
2 bedroom block of flats for sale,"Area 1 Axis., Durumi, Abuja","70,000,000",Block of Flats,2,3,3,19 Sep 2025,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/abuja/durumi/3104168-luxury-and-spacious-2-bedrooms-block-of-flats-in-an-estate-tarred-road,abuja,4
3 bedroom block of flats for sale,"Area 1, Durumi, Abuja","80,000,000",Block of Flats,3,4,4,22 Sep 2025,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/abuja/durumi/3108728-spacious-3-bedrooms-block-of-flat-in-a-very-nice-estate-on-tarred-road,abuja,4
Residential land for sale,"Hutu Along Airport Road, Lugbe District, Abuja","25,000,000",Residential Land,,,,18 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/lugbe-district/3349160-site-and-serviced-400sqms-land-suitable-for-4-bedrooms-fully-detached,abuja,4
4 bedroom terraced duplex for sale,"Guzape District, Abuja","300,000,000",Terraced Duplex,4,5,5,11 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/guzape-district/3337749-luxury-4-bedroom-terrace-duplex-with-bq-privately-gated-on-tared-road,abuja,4
Mixed-use land for sale,"Very Close To Africa Medical Centre, Apo, Abuja","5,000,000",Mixed-use Land,,,,22 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/abuja/apo/3355144-4bedroom-terrace-duplex,abuja,4
3 bedroom terraced duplex for sale,"Mamman Kontogora Crescent, Katampe Extension, Katampe, Abuja","2,500,000,000",Terraced Duplex,3,,,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/katampe-district/katampe-extension/3355176-an-advance-finished-seven-units-terraced-duplexes,abuja,4
4 bedroom terraced duplex for sale,"Karsana, Abuja","105,000,000",Terraced Duplex,4,,,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/karsana/3355172-4-bedrooms-terraced-duplex,abuja,4
Residential land for sale,"Lugbe, Lugbe District, Abuja","18,000,000",Residential Land,,,,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/lugbe-district/3355171-luxury-buy-and-build-land,abuja,4
5 bedroom semi-detached duplex for sale,"Asokoro District, Abuja","750,000,000",Semi-detached Duplex,5,6,6,05 Jul 2024,09 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/abuja/asokoro-district/2338229-luxury-built-5-bedroom-detached-duplex-with-bq,abuja,5
8 bedroom detached duplex for sale,"A Few Minute Drive From Africa Medical Centre, Apo, Abuja","24,000,000",Detached Duplex,8,8,8,22 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/apo/3355166-8bedroom-mansion-and-bq,abuja,5
